season_name,match_id,team,total_actions,final_third_actions,field_tilt_pct
2022/2023,3837650,Paris Saint-Germain,1397,281,20.11
2022/2023,3837650,Clermont Foot,816,114,13.97
2022/2023,3837659,Paris Saint-Germain,1287,599,46.54
2022/2023,3837659,Montpellier,839,100,11.92
2022/2023,3837662,Paris Saint-Germain,1153,246,21.34
2022/2023,3837662,Lille,1062,221,20.81
2022/2023,3837680,Paris Saint-Germain,1442,335,23.23
2022/2023,3837680,AS Monaco,654,129,19.72
2022/2023,3837683,Toulouse,745,184,24.7
2022/2023,3837683,Paris Saint-Germain,1229,293,23.84
2022/2023,3837695,Paris Saint-Germain,1446,475,32.85
2022/2023,3837695,Nantes,910,162,17.8
2022/2023,3837706,Paris Saint-Germain,1298,331,25.5
2022/2023,3837706,Stade Brestois,844,148,17.54
2022/2023,3837717,Lyon,827,239,28.9
2022/2023,3837717,Paris Saint-Germain,1564,316,20.2
2022/2023,3837727,Paris Saint-Germain,1326,300,22.62
2022/2023,3837727,OGC Nice,996,204,20.48
2022/2023,3837747,Marseille,1020,326,31.96
2022/2023,3837747,Paris Saint-Germain,1007,287,28.5
2022/2023,3837752,AC Ajaccio,725,205,28.28
2022/2023,3837752,Paris Saint-Germain,1359,234,17.22
2022/2023,3837771,Paris Saint-Germain,1379,601,43.58
2022/2023,3837771,Troyes,739,127,17.19
2022/2023,3837785,Paris Saint-Germain,1288,375,29.11
2022/2023,3837785,Auxerre,873,213,24.4
2022/2023,3837818,Angers,872,187,21.44
2022/2023,3837818,Paris Saint-Germain,1650,260,15.76
2022/2023,3837827,Rennes,719,149,20.72
2022/2023,3837827,Paris Saint-Germain,1315,269,20.46
2022/2023,3837839,Stade de Reims,1010,298,29.5
2022/2023,3837839,Paris Saint-Germain,1428,314,21.99
2022/2023,3837844,Paris Saint-Germain,1402,384,27.39
2022/2023,3837844,Montpellier,712,114,16.01
2022/2023,3837859,Paris Saint-Germain,1270,405,31.89
2022/2023,3837859,Toulouse,786,155,19.72
2022/2023,3837876,Lille,1002,265,26.45
2022/2023,3837876,Paris Saint-Germain,923,186,20.15
2022/2023,3837885,Marseille,987,349,35.36
2022/2023,3837885,Paris Saint-Germain,785,147,18.73
2022/2023,3837896,Paris Saint-Germain,1567,587,37.46
2022/2023,3837896,Nantes,745,164,22.01
2022/2023,3837902,Paris Saint-Germain,1242,420,33.82
2022/2023,3837902,Stade Brestois,710,177,24.93
2022/2023,3837918,Paris Saint-Germain,1312,340,25.91
2022/2023,3837918,Rennes,820,162,19.76
2022/2023,3837928,Paris Saint-Germain,1458,517,35.46
2022/2023,3837928,Lyon,885,129,14.58
2022/2023,3837938,OGC Nice,1205,463,38.42
2022/2023,3837938,Paris Saint-Germain,1446,292,20.19
