season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2022/2023,3837659,Nordi Mukiele Mulere,Paris Saint-Germain,1,0.324,0.324,1.0,2.0,14.599
2022/2023,3837659,Pablo Sarabia García,Paris Saint-Germain,1,0.324,0.324,2.0,4.0,7.3
2023,3920386,Paul Onuachu,Nigeria,1,0.551,0.138,8.0,8.0,6.203
2023,3920387,Laros Duarte,Cape Verde Islands,1,0.858,0.858,1.0,13.0,5.937
2023,3877090,Noah Allen,Inter Miami,1,0.417,0.417,2.0,7.0,5.359
2023,3877060,Robbie Robinson Belmar,Inter Miami,1,0.962,0.481,4.0,18.0,4.81
2022/2023,3837963,Julien Ponceau,Lorient,1,0.094,0.094,3.0,2.0,4.225
2023,3920408,Alejandro Balboa Bandeira,Equatorial Guinea,1,0.275,0.275,1.0,6.0,4.12
2022/2023,3837752,Pablo Sarabia García,Paris Saint-Germain,1,0.919,0.919,7.0,21.0,3.938
2022/2023,3837839,Marco Verratti,Paris Saint-Germain,1,0.672,0.336,4.0,18.0,3.362
2023,3893797,Kerstin Yasmijn Casparij,Netherlands Women's,1,0.065,0.065,4.0,2.0,2.906
2023,3920384,Idrissa Doumbia,Côte d'Ivoire,1,0.096,0.096,4.0,3.0,2.866
2023,3920411,Mostafa Fathi,Egypt,1,0.221,0.221,2.0,7.0,2.836
2023,3920419,Bilal El Khannous,Morocco,2,0.796,0.265,6.0,27.0,2.655
2022/2023,3837659,Leo Leroy,Montpellier,1,0.146,0.146,5.0,5.0,2.619
2023,3893812,Kholosa Biyana,South Africa Women's,1,0.806,0.806,2.0,29.0,2.503
2023,3920405,Amine Harit,Morocco,1,0.425,0.425,4.0,16.0,2.388
2023,3922238,Kenneth Josiah Omeruo,Nigeria,1,0.207,0.207,1.0,8.0,2.327
2023,3893787,Anja Sønstevold,Norway Women's,1,0.35,0.175,2.0,14.0,2.248
2022/2023,3837963,Achraf Hakimi Mouh,Paris Saint-Germain,1,0.449,0.449,1.0,19.0,2.127
2023,3920400,Junior Tchamadeu,Cameroon,1,0.116,0.116,1.0,5.0,2.094
2023,3877115,Brandon Iván Servania,Toronto FC,1,0.299,0.299,5.0,13.0,2.067
2023,3920408,Santiago Eneme Bocari,Equatorial Guinea,1,0.275,0.275,5.0,12.0,2.06
2023,3920394,Ayoub El Kaabi,Morocco,1,0.312,0.156,4.0,14.0,2.009
2023,3893805,Miyabi Moriya,Japan Women's,1,0.082,0.082,2.0,4.0,1.854
2022/2023,3837752,Vitor Machado Ferreira,Paris Saint-Germain,2,1.225,0.613,10.0,60.0,1.838
2023,3893799,Chantal Hagel,Germany Women's,1,0.198,0.198,3.0,10.0,1.779
2022/2023,3837876,José Miguel da Rocha Fonte,Lille,1,0.216,0.216,2.0,11.0,1.765
2023,3920414,Felicio Mendes Joao Milson,Angola,1,0.66,0.33,8.0,34.0,1.748
2023,3902239,Takako Seike,Japan Women's,1,0.388,0.388,2.0,20.0,1.747
2022/2023,3837683,Hugo Ekitike,Paris Saint-Germain,1,0.446,0.446,1.0,23.0,1.745
2023,3901734,Sara Iren Lindbak Hørte,Norway Women's,1,0.134,0.134,2.0,7.0,1.722
2023,3920416,Naïm Sliti,Tunisia,1,0.418,0.418,2.0,23.0,1.634
2022/2023,3837662,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.069,0.069,2.0,4.0,1.542
2022/2023,3837885,Azzedine Ounahi,Marseille,1,0.492,0.164,18.0,30.0,1.475
2023,3893823,Mary Wilombe,Zambia Women's,1,0.408,0.408,1.0,26.0,1.412
2023,3922321,Alhassan Yusuf,Nigeria,1,0.246,0.246,2.0,16.0,1.381
2022/2023,3837683,Renato Júnior Luz Sanches,Paris Saint-Germain,1,0.288,0.288,6.0,19.0,1.364
2023,3877060,Sergio Busquets i Burgos,Inter Miami,1,0.962,0.481,2.0,64.0,1.353
2023,3877060,DeAndre Yedlin,Inter Miami,1,0.962,0.481,8.0,64.0,1.353
2023,3893814,Olivia Alma Charlotta Schough,Sweden Women's,1,0.42,0.42,2.0,29.0,1.305
2023,3893831,Giada Greggi,Italy Women's,1,0.596,0.298,4.0,42.0,1.278
2022/2023,3837650,Warren Zaire Emery,Paris Saint-Germain,1,0.07,0.07,1.0,5.0,1.266
2022/2023,3837902,Juan Bernat Velasco,Paris Saint-Germain,1,0.168,0.168,2.0,12.0,1.259
2022/2023,3837859,Renato Júnior Luz Sanches,Paris Saint-Germain,1,0.176,0.176,2.0,13.0,1.222
2022/2023,3837659,Valère Germain,Montpellier,1,0.146,0.146,3.0,11.0,1.191
2023,3920394,Amine Harit,Morocco,1,0.312,0.156,4.0,24.0,1.172
2023,3920394,Sofiane Boufal,Morocco,1,0.312,0.156,4.0,24.0,1.172
2023,3893832,Andressa Alves da Silva,Brazil Women's,1,0.286,0.143,2.0,22.0,1.169
2023,3922237,Deivi Miguel Vieira,Angola,1,0.875,0.875,2.0,69.0,1.141
2023,3920419,Tarik Tissoudali,Morocco,2,0.731,0.244,4.0,60.0,1.096
2023,3920400,Pape Matar Sarr,Senegal,1,0.875,0.875,4.0,73.0,1.078
2023,3922240,Yoane Wissa,Congo DR,1,0.874,0.874,2.0,77.0,1.022
2022/2023,3837659,Leandro Daniel Paredes,Paris Saint-Germain,2,0.423,0.211,8.0,38.0,1.001
2023,3920401,Facinet Conte,Guinea,1,0.417,0.209,2.0,38.0,0.989
2022/2023,3837695,Sergio Ramos García,Paris Saint-Germain,2,1.476,0.295,9.0,135.0,0.984
2023,3893808,Damaris Berta Egurrola Wienke,Netherlands Women's,1,0.276,0.276,5.0,26.0,0.955
2023,3920386,Bright Osayi-Samuel,Nigeria,1,0.551,0.138,20.0,52.0,0.954
2023,3893830,Yamila Tamara Rodríguez,Argentina Women's,1,0.178,0.178,2.0,17.0,0.942
2022/2023,3837963,Carlos Soler Barragán,Paris Saint-Germain,1,0.449,0.449,1.0,43.0,0.94
2023,3893809,Clare Elizabeth Polkinghorne,Australia Women's,2,0.33,0.165,3.0,32.0,0.927
2022/2023,3837717,Nordi Mukiele Mulere,Paris Saint-Germain,2,0.635,0.318,5.0,62.0,0.922
2023,3893826,Ana Ines Palma Capeta,Portugal Women's,1,0.143,0.072,4.0,14.0,0.92
2022/2023,3837747,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.243,0.243,6.0,24.0,0.91
2022/2023,3837859,Veljko Birmančević,Toulouse,2,0.359,0.12,6.0,36.0,0.898
2023,3893820,Guro Bergsvand,Norway Women's,3,0.749,0.187,19.0,76.0,0.888
2023,3920405,Fiston Kalala Mayele,Congo DR,1,0.438,0.438,2.0,46.0,0.856
2023,3920405,Silas Katompa Mvumpa,Congo DR,1,0.262,0.262,2.0,28.0,0.843
2023,3920407,Petrus Shitembi,Namibia,1,0.459,0.459,2.0,49.0,0.843
2023,3893821,Emily Louise van Egmond,Australia Women's,1,0.777,0.777,1.0,83.0,0.843
2023,3920386,Calvin Bassey Ughelumba,Nigeria,2,0.559,0.112,38.0,60.0,0.839
2022/2023,3837717,Vitor Machado Ferreira,Paris Saint-Germain,2,0.65,0.325,3.0,70.0,0.836
2022/2023,3837650,Juan Bernat Velasco,Paris Saint-Germain,2,0.203,0.102,6.0,22.0,0.831
2023,3893826,Trinity Rain Moyer-Rodman,United States Women's,1,0.11,0.11,2.0,12.0,0.826
2023,3893811,Frederikke Thøgersen,Denmark Women's,1,0.146,0.146,2.0,16.0,0.819
2023,3893830,Linda Brigitta Sembrant,Sweden Women's,2,0.506,0.253,6.0,56.0,0.813
2023,3920400,Sadio Mané,Senegal,1,0.875,0.875,2.0,97.0,0.812
2023,3893791,Oihane Hernández Zurbano,Spain Women's,2,0.089,0.045,9.0,10.0,0.804
2023,3877194,Dixon Jair Arroyo Espinoza,Inter Miami,3,0.759,0.152,6.0,85.0,0.803
2023,3893793,Takako Seike,Japan Women's,1,0.151,0.151,3.0,17.0,0.798
2023,3893806,Irene Guerrero Sanmartín,Spain Women's,4,1.364,0.341,9.0,156.0,0.787
2022/2023,3837695,Neymar da Silva Santos Junior,Paris Saint-Germain,4,1.627,0.232,40.0,189.0,0.775
2022/2023,3837659,Arnaud Souquet,Montpellier,1,0.146,0.146,1.0,17.0,0.77
2023,3893830,Dalila Belén Ippolito,Argentina Women's,1,0.178,0.178,2.0,21.0,0.763
2023,3920419,Amir Richardson,Morocco,3,0.807,0.202,10.0,96.0,0.756
2022/2023,3837947,David Pereira da Costa,Lens,1,0.076,0.076,2.0,9.0,0.755
2023,3920414,Jérémy Bela,Angola,1,0.66,0.33,4.0,80.0,0.743
